epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.871,1.48019,3.98281,1.67141,0.32505,0.31759,0.25535,0.14614,1.59979,2.51386,1.45793,0.00332579,0.00332579,0.00332579
2,321.418,1.38975,2.46384,1.52999,0.47994,0.42225,0.39935,0.2298,1.51789,2.23557,1.45171,0.00663715,0.00663715,0.00663715
3,478.953,1.47131,2.39976,1.62014,0.39663,0.39138,0.32971,0.16969,1.75128,2.44661,1.66078,0.00992651,0.00992651,0.00992651
4,633.637,1.54511,2.51796,1.71198,0.46165,0.50982,0.50684,0.2748,1.67575,1.88312,1.64704,0.009901,0.009901,0.009901
5,789.74,1.50886,2.31008,1.67292,0.48298,0.53016,0.52525,0.29616,1.58453,1.81407,1.56624,0.009868,0.009868,0.009868
6,945.993,1.48393,2.1797,1.65351,0.62499,0.59711,0.64629,0.35247,1.6278,1.61568,1.53269,0.009835,0.009835,0.009835
7,1103.02,1.44073,2.05548,1.62492,0.67693,0.68898,0.73943,0.47972,1.24002,1.24532,1.30813,0.009802,0.009802,0.009802
8,1259.85,1.4193,1.95338,1.60427,0.6498,0.68014,0.71346,0.48052,1.20166,1.33664,1.30869,0.009769,0.009769,0.009769
9,1415.32,1.39751,1.8802,1.58497,0.72323,0.69571,0.76692,0.50337,1.23721,1.17901,1.32556,0.009736,0.009736,0.009736
10,1572.22,1.3774,1.81292,1.56611,0.78771,0.70789,0.8051,0.55083,1.13988,1.08856,1.26535,0.009703,0.009703,0.009703
11,1729.7,1.35297,1.74703,1.54947,0.78012,0.78237,0.84316,0.55819,1.23111,1.00061,1.27298,0.00967,0.00967,0.00967
12,1886.61,1.33559,1.66966,1.52926,0.74772,0.7353,0.81702,0.58691,1.06483,1.06908,1.21394,0.009637,0.009637,0.009637
13,2042.95,1.33168,1.66935,1.5266,0.77157,0.77299,0.83919,0.60495,1.05002,0.97649,1.20242,0.009604,0.009604,0.009604
14,2199.22,1.31797,1.6223,1.51566,0.81124,0.80602,0.87263,0.64094,1.02458,0.87584,1.16384,0.009571,0.009571,0.009571
15,2355.75,1.30911,1.58476,1.50657,0.82323,0.78047,0.87044,0.61247,1.11751,0.91035,1.22248,0.009538,0.009538,0.009538
16,2511.15,1.29296,1.53495,1.49021,0.85128,0.81434,0.88714,0.62203,1.13242,0.83458,1.21772,0.009505,0.009505,0.009505
17,2666.36,1.28501,1.50483,1.48832,0.83351,0.82574,0.89945,0.6415,1.0821,0.82248,1.1873,0.009472,0.009472,0.009472
