epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.494,1.4461,3.12433,1.681,0.36618,0.4404,0.35464,0.17714,1.74077,2.33538,1.69365,0.0668419,9.97738e-05,9.97738e-05
2,551.31,1.41418,2.38317,1.6524,0.37295,0.4888,0.43561,0.2663,1.4828,2.08446,1.57174,0.033608,0.000199209,0.000199209
3,827.006,1.40618,2.17737,1.66453,0.56985,0.57255,0.62313,0.3852,1.37503,1.6867,1.50802,0.000373493,0.000298078,0.000298078
4,1100.96,1.36988,2.038,1.64176,0.62497,0.63967,0.67691,0.40095,1.49,1.50935,1.52886,0.000297454,0.000297454,0.000297454
5,1377.71,1.33902,1.87445,1.61109,0.65592,0.72877,0.78862,0.51551,1.22723,1.23867,1.40855,0.000296606,0.000296606,0.000296606
6,1652.33,1.30268,1.75511,1.58037,0.79234,0.7437,0.83683,0.49579,1.46271,1.07248,1.46658,0.000295757,0.000295757,0.000295757
7,1925.59,1.2759,1.66844,1.56239,0.76925,0.75495,0.83604,0.58167,1.10555,1.02672,1.28464,0.000294909,0.000294909,0.000294909
8,2200.04,1.25969,1.59364,1.55288,0.76794,0.80699,0.84502,0.5984,1.12378,0.96455,1.29188,0.00029406,0.00029406,0.00029406
9,2474.51,1.22956,1.51497,1.51802,0.78369,0.82797,0.86818,0.59526,1.15059,0.88457,1.28529,0.000293211,0.000293211,0.000293211
10,2749.08,1.22033,1.47825,1.5135,0.83679,0.82561,0.89809,0.62525,1.12014,0.80685,1.26093,0.000292363,0.000292363,0.000292363
11,3024.43,1.19945,1.42662,1.5015,0.82157,0.85035,0.90171,0.63816,1.08219,0.82053,1.24119,0.000291514,0.000291514,0.000291514
12,3299.63,1.18173,1.37531,1.48061,0.83677,0.83398,0.9046,0.68122,0.95374,0.76528,1.16566,0.000290666,0.000290666,0.000290666
13,3573.61,1.18335,1.3729,1.48228,0.83448,0.89904,0.92329,0.70861,0.90161,0.69148,1.16332,0.000289817,0.000289817,0.000289817
14,3848.04,1.16577,1.31653,1.47044,0.86567,0.87063,0.93532,0.7224,0.8773,0.65016,1.13232,0.000288969,0.000288969,0.000288969
15,4127.56,1.1669,1.30476,1.47072,0.87785,0.86849,0.93158,0.69851,0.94176,0.66616,1.15744,0.00028812,0.00028812,0.00028812
16,4400.11,1.15362,1.2607,1.45647,0.88407,0.87553,0.93029,0.691,0.99012,0.66334,1.17724,0.000287271,0.000287271,0.000287271
